asset_id,file_name,primary_scene_tag,duration_sec,description,source_url,local_path,enabled,notes,bucket,object_key
折叠动作_001,折叠动作_001_折叠收起_3s.mp4,折叠动作,3,折叠收起,,,true,,coze-video-assets-hlm,materials_v2/折叠动作_001_折叠收起_3s.mp4
折叠动作_002,折叠动作_002_折叠到打开_3s.mp4,折叠动作,3,折叠到打开,,,true,,coze-video-assets-hlm,materials_v2/折叠动作_002_折叠到打开_3s.mp4
折叠动作_003,折叠动作_003_单手折叠_3s.mp4,折叠动作,3,单手折叠,,,true,,coze-video-assets-hlm,materials_v2/折叠动作_003_单手折叠_3s.mp4
折叠动作_004,折叠动作_004_双手折叠_2s.mp4,折叠动作,2,双手折叠,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/折叠动作_004_双手折叠_2s.mp4
折叠动作_005,折叠动作_005_单手折叠_2s.mp4,折叠动作,2,单手折叠,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/折叠动作_005_单手折叠_2s.mp4
放进包包_001,放进包包_001_放入特写_2s.mp4,放进包包,2,放入特写,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/放进包包_001_放入特写_2s.mp4
放进包包_002,放进包包_002_放入特写_2s.mp4,放进包包,2,放入特写,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/放进包包_002_放入特写_2s.mp4
放进包包_003,放进包包_003_过肩俯拍放入动作_2s.mp4,放进包包,2,过肩俯拍放入动作,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/放进包包_003_过肩俯拍放入动作_2s.mp4
放进包包_004,放进包包_004_俯拍从包拿出动作_2s.mp4,放进包包,2,俯拍从包拿出动作,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/放进包包_004_俯拍从包拿出动作_2s.mp4
放进包包_005,放进包包_005_特写切远景从包拿出动作_3s.mp4,放进包包,3,特写切远景从包拿出动作,,,true,,coze-video-assets-hlm,materials_v2/放进包包_005_特写切远景从包拿出动作_3s.mp4
放进包包_006,放进包包_006_特写打开收纳袋切拿出吹风机_3s.mp4,放进包包,3,特写打开收纳袋切拿出吹风机,,,true,,coze-video-assets-hlm,materials_v2/放进包包_006_特写打开收纳袋切拿出吹风机_3s.mp4
放进包包_007,放进包包_007_包内视角切放入包动作_3s.mp4,放进包包,3,包内视角切放入包动作,,,true,,coze-video-assets-hlm,materials_v2/放进包包_007_包内视角切放入包动作_3s.mp4
放进包包_008,放进包包_008_收纳袋放入女士包_2s.mp4,放进包包,2,收纳袋放入女士包,,,true,素材较短，可用于快切/转场/补充镜头,coze-video-assets-hlm,materials_v2/放进包包_008_收纳袋放入女士包_2s.mp4
放进包包_009,放进包包_009_放入女士包_3s.mp4,放进包包,3,放入女士包,,,true,,coze-video-assets-hlm,materials_v2/放进包包_009_放入女士包_3s.mp4
放进包包_010,放进包包_010_女士包拿出远景切特写_3s.mp4,放进包包,3,女士包拿出远景切特写,,,true,,coze-video-assets-hlm,materials_v2/放进包包_010_女士包拿出远景切特写_3s.mp4
放进行李箱_001,放进行李箱_001_远景切特写_4s.mp4,放进行李箱,4,远景切特写,,,true,,coze-video-assets-hlm,materials_v2/放进行李箱_001_远景切特写_4s.mp4
放进行李箱_002,放进行李箱_002_远景_4s.mp4,放进行李箱,4,远景,,,true,,coze-video-assets-hlm,materials_v2/放进行李箱_002_远景_4s.mp4
放进行李箱_003,放进行李箱_003_远景_5s.mp4,放进行李箱,5,远景,,,true,,coze-video-assets-hlm,materials_v2/放进行李箱_003_远景_5s.mp4
放进行李箱_004,放进行李箱_004_放入动作_3s.mp4,放进行李箱,3,放入动作,,,true,,coze-video-assets-hlm,materials_v2/放进行李箱_004_放入动作_3s.mp4
放进行李箱_005,放进行李箱_005_折叠后放入行李箱_5s.mp4,放进行李箱,5,折叠后放入行李箱,,,true,,coze-video-assets-hlm,materials_v2/放进行李箱_005_折叠后放入行李箱_5s.mp4
放进行李箱_006,放进行李箱_006_放入行李箱拉上拉链_4s.mp4,放进行李箱,4,放入行李箱拉上拉链,,,true,,coze-video-assets-hlm,materials_v2/放进行李箱_006_放入行李箱拉上拉链_4s.mp4
吹发动作_001,吹发动作_001_全景吹发_5s.mp4,吹发动作,5,全景吹发,,,true,,coze-video-assets-hlm,materials_v2/吹发动作_001_全景吹发_5s.mp4
吹发动作_002,吹发动作_002_对镜吹发_7s.mp4,吹发动作,7,对镜吹发,,,true,,coze-video-assets-hlm,materials_v2/吹发动作_002_对镜吹发_7s.mp4
吹发动作_003,吹发动作_003_长发飘动_6s.mp4,吹发动作,6,长发飘动,,,true,,coze-video-assets-hlm,materials_v2/吹发动作_003_长发飘动_6s.mp4
吹发动作_004,吹发动作_004_背面丝滑_5s.mp4,吹发动作,5,背面丝滑,,,true,,coze-video-assets-hlm,materials_v2/吹发动作_004_背面丝滑_5s.mp4
吹发动作_005,吹发动作_005_坐床上吹发_6s.mp4,吹发动作,6,坐床上吹发,,,true,,coze-video-assets-hlm,materials_v2/吹发动作_005_坐床上吹发_6s.mp4
吹发动作_006,吹发动作_006_坐床边吹发背面_6s.mp4,吹发动作,6,坐床边吹发背面,,,true,,coze-video-assets-hlm,materials_v2/吹发动作_006_坐床边吹发背面_6s.mp4
